block_id,block_name,ward,lat,lon,building_density,green_cover,road_density,avg_building_height,distance_to_water,impervious_surface_fraction,lst
DEL-0018,Dwarka Block-18,Dwarka,28.650893,76.941448,0.2562,0.3007,6.31,10.8,30.55,0.4073,39.7
DEL-0019,Dwarka Block-19,Dwarka,28.610056,76.933525,0.2023,0.5059,11.97,9.4,32.42,0.6112,38.9
DEL-0020,Dwarka Block-20,Dwarka,28.548141,76.977614,0.4447,0.2063,11.11,11.1,30.54,0.8343,43.5
DEL-0021,Pitampura Block-21,Pitampura,28.689215,77.118137,0.374,0.2427,8.76,11.4,12.9,0.681,41.8
DEL-0022,Mehrauli Block-22,Mehrauli,28.481377,77.19586,0.4122,0.4207,11.0,17.4,12.85,0.748,41.0
DEL-0023,Vasant Kunj Block-23,Vasant Kunj,28.548544,77.170293,0.3941,0.4246,8.29,11.4,12.99,0.6255,42.2
DEL-0024,Dwarka Block-24,Dwarka,28.581199,76.991569,0.4333,0.2985,13.02,13.9,28.19,0.8356,43.8
DEL-0025,Mayur Vihar Block-25,Mayur Vihar,28.620671,77.308787,0.6164,0.2506,13.56,12.6,2.81,0.95,44.5
DEL-0026,Ridge Forest Block-26,Ridge Forest,28.765477,77.206812,0.1675,0.5326,7.06,8.5,3.66,0.3623,34.5
DEL-0027,Vasant Kunj Block-27,Vasant Kunj,28.507856,77.120546,0.3697,0.2034,6.88,10.9,19.06,0.6657,40.7
DEL-0028,Ridge Forest Block-28,Ridge Forest,28.646263,77.147509,0.0735,0.5832,1.0,5.7,11.58,0.0976,33.5
DEL-0029,Janakpuri Block-29,Janakpuri,28.680662,77.057212,0.5827,0.1238,11.5,22.8,18.9,0.95,46.1
DEL-0030,Dwarka Block-30,Dwarka,28.440438,76.976434,0.2507,0.4313,5.18,7.5,34.68,0.422,37.2
DEL-0031,Rohini Block-31,Rohini,28.68732,77.027307,0.4382,0.2146,15.72,5.3,21.73,0.95,45.1
DEL-0032,Saket Block-32,Saket,28.495031,77.216188,0.3827,0.236,7.65,10.4,10.5,0.5932,42.0
DEL-0033,Dwarka Block-33,Dwarka,28.448623,76.866765,0.3947,0.4148,6.0,9.3,44.59,0.6141,38.9
DEL-0034,Rohini Block-34,Rohini,28.83751,76.914554,0.2704,0.3633,9.66,11.5,29.73,0.5781,40.9
DEL-0035,Rohini Block-35,Rohini,28.844878,76.881621,0.2351,0.5341,4.71,9.2,32.9,0.3421,37.5
DEL-0036,Rohini Block-36,Rohini,28.775695,76.879143,0.1517,0.5867,3.31,3.7,34.17,0.1998,35.1
DEL-0037,Nehru Place Block-37,Nehru Place,28.55403,77.262066,0.6164,0.01,18.39,15.6,4.69,0.95,46.9
DEL-0038,Mehrauli Block-38,Mehrauli,28.462976,77.190719,0.1855,0.5861,5.48,8.5,13.72,0.3537,36.0
DEL-0039,Rohini Block-39,Rohini,28.721063,77.082862,0.3621,0.0917,14.73,14.5,15.63,0.8457,44.1
DEL-0040,Dwarka Block-40,Dwarka,28.613667,76.905982,0.2192,0.3668,7.46,6.5,34.87,0.4841,37.0
DEL-0041,Vasant Kunj Block-41,Vasant Kunj,28.473697,77.091059,0.3575,0.366,11.57,16.1,22.92,0.7838,40.6
DEL-0042,Janakpuri Block-42,Janakpuri,28.637878,77.082532,0.3822,0.2501,12.92,10.9,17.71,0.8202,42.2
DEL-0043,Dwarka Block-43,Dwarka,28.435131,76.941405,0.1254,0.4002,2.43,5.6,38.14,0.2486,34.6
DEL-0044,Narela Block-44,Narela,28.820101,77.06391,0.4172,0.2974,8.59,14.4,15.54,0.6804,41.7
DEL-0045,IGI Airport Area Block-45,IGI Airport Area,28.533863,77.047297,0.4647,0.2853,11.27,14.0,24.62,0.9111,43.0
DEL-0046,Pitampura Block-46,Pitampura,28.71151,77.14945,0.4336,0.2337,12.41,15.3,9.8,0.8723,42.2
DEL-0047,Vasant Kunj Block-47,Vasant Kunj,28.557153,77.158494,0.2947,0.3607,10.12,11.2,13.67,0.5787,40.4
DEL-0048,Dwarka Block-48,Dwarka,28.64883,76.881293,0.2754,0.526,8.78,10.6,36.36,0.5653,37.7
DEL-0049,Janakpuri Block-49,Janakpuri,28.660553,77.036068,0.449,0.2516,8.9,10.2,21.29,0.7877,42.2
DEL-0050,Vasant Kunj Block-50,Vasant Kunj,28.501336,77.154154,0.3847,0.2899,12.95,10.7,16.13,0.8202,42.2
DEL-0051,Narela Block-51,Narela,28.846617,77.096474,0.2598,0.418,6.51,13.8,12.02,0.4411,38.2
DEL-0052,Yamuna Floodplains Block-52,Yamuna Floodplains,28.761058,77.26255,0.3277,0.4563,9.25,4.7,2.51,0.6467,39.1
DEL-0053,Narela Block-53,Narela,28.83338,77.169586,0.3591,0.3407,11.7,17.3,5.24,0.7345,41.2
DEL-0054,Rohini Block-54,Rohini,28.813724,76.936579,0.2939,0.4437,4.46,7.4,27.86,0.389,36.9
DEL-0055,Rohini Block-55,Rohini,28.683076,76.893167,0.1326,0.5049,5.53,12.5,34.58,0.277,37.1
DEL-0056,Narela Block-56,Narela,28.825625,77.161937,0.2826,0.4465,5.1,11.3,6.26,0.4593,38.0
DEL-0057,Dwarka Block-57,Dwarka,28.458937,76.87246,0.4097,0.3664,5.94,7.8,43.6,0.5855,39.5
DEL-0058,Vasant Kunj Block-58,Vasant Kunj,28.506232,77.135315,0.4812,0.2279,8.89,13.9,17.72,0.7553,43.3
DEL-0059,Okhla Industrial Block-59,Okhla Industrial,28.4399,77.301908,0.1886,0.5228,12.23,8.2,3.88,0.5807,38.3
DEL-0060,IGI Airport Area Block-60,IGI Airport Area,28.563145,77.130473,0.3104,0.5691,7.06,7.4,15.88,0.4905,37.4
DEL-0061,Dwarka Block-61,Dwarka,28.591018,77.04244,0.5303,0.2034,12.26,13.1,23.13,0.95,46.8
DEL-0062,Vasant Kunj Block-62,Vasant Kunj,28.539394,77.162345,0.3155,0.4121,11.26,17.0,14.15,0.7141,40.9
DEL-0063,Rohini Block-63,Rohini,28.784645,77.075379,0.5296,0.267,14.09,17.2,15.14,0.95,46.2
DEL-0064,IGI Airport Area Block-64,IGI Airport Area,28.576971,77.11644,0.2987,0.3793,11.57,8.2,16.64,0.6989,40.2
DEL-0065,Okhla Industrial Block-65,Okhla Industrial,28.543611,77.302488,0.6496,0.0983,15.98,12.3,1.02,0.95,46.0
DEL-0066,Janakpuri Block-66,Janakpuri,28.658786,77.041468,0.4839,0.1765,14.54,19.6,20.82,0.95,45.7
DEL-0067,Okhla Industrial Block-67,Okhla Industrial,28.482007,77.31176,0.2459,0.4115,6.99,12.3,1.79,0.4377,37.3
DEL-0068,Shahdara Block-68,Shahdara,28.772967,77.285515,0.296,0.3366,4.81,10.0,5.11,0.5191,38.0
DEL-0069,Dwarka Block-69,Dwarka,28.452802,76.952022,0.3352,0.3447,1.0,10.1,36.56,0.3485,36.9
DEL-0070,Rohini Block-70,Rohini,28.85423,76.8926,0.3058,0.3413,4.86,12.9,31.83,0.4939,39.0
DEL-0071,Rohini Block-71,Rohini,28.759788,76.907366,0.1654,0.3307,4.63,8.8,31.71,0.3295,36.8
DEL-0072,Dwarka Block-72,Dwarka,28.507435,76.868564,0.1934,0.5264,7.23,13.1,42.03,0.4481,38.2
DEL-0073,Dwarka Block-73,Dwarka,28.42243,76.904388,0.1941,0.5713,7.95,8.2,41.99,0.4876,37.4
DEL-0074,Pitampura Block-74,Pitampura,28.778803,77.181013,0.0975,0.6954,3.72,3.0,5.32,0.2267,32.5
DEL-0075,Rohini Block-75,Rohini,28.731017,76.893459,0.1841,0.4239,1.46,7.5,33.64,0.1358,34.0
DEL-0076,Rohini Block-76,Rohini,28.740763,77.009919,0.5269,0.2174,10.87,14.2,22.41,0.8889,43.3
DEL-0077,Yamuna Floodplains Block-77,Yamuna Floodplains,28.759359,77.257091,0.2814,0.436,6.4,9.6,1.96,0.4131,36.8
DEL-0078,Dwarka Block-78,Dwarka,28.45258,76.870938,0.1908,0.4073,11.44,11.3,44.03,0.5493,40.0
DEL-0079,Lajpat Nagar Block-79,Lajpat Nagar,28.577725,77.2428,0.6313,0.0846,14.33,18.5,5.22,0.95,47.1
DEL-0080,Dwarka Block-80,Dwarka,28.470982,76.992472,0.3457,0.3528,11.12,10.7,32.2,0.7994,41.1
DEL-0081,Rohini Block-81,Rohini,28.799766,76.915537,0.2324,0.4104,4.9,7.8,30.14,0.4126,37.9
DEL-0082,Ridge Forest Block-82,Ridge Forest,28.694251,77.187466,0.1099,0.7515,7.4,7.7,6.12,0.3582,34.8
DEL-0083,Vasant Kunj Block-83,Vasant Kunj,28.565595,77.155603,0.2354,0.3598,4.05,11.6,13.55,0.3962,37.1
DEL-0084,Okhla Industrial Block-84,Okhla Industrial,28.447966,77.272412,0.2492,0.2353,9.5,14.1,6.6,0.6331,39.8
DEL-0085,South Extension Block-85,South Extension,28.556832,77.205483,0.5439,0.098,17.33,17.7,9.53,0.95,47.8
DEL-0086,Lajpat Nagar Block-86,Lajpat Nagar,28.563081,77.237636,0.5414,0.1082,17.27,17.3,6.36,0.95,45.8
DEL-0087,Rohini Block-87,Rohini,28.741027,76.992556,0.5245,0.2544,11.65,16.1,24.02,0.7989,45.0
DEL-0088,Rohini Block-88,Rohini,28.700525,76.943397,0.0971,0.4824,1.0,10.0,29.4,0.1117,34.6
DEL-0089,Narela Block-89,Narela,28.810374,77.212789,0.2501,0.4676,2.93,11.8,2.03,0.3279,34.4
DEL-0090,Connaught Place Block-90,Connaught Place,28.627775,77.239212,0.6548,0.1599,14.77,15.1,3.88,0.95,47.6
DEL-0091,Okhla Industrial Block-91,Okhla Industrial,28.472621,77.325537,0.2504,0.5405,6.82,8.1,0.93,0.4698,35.9
DEL-0092,Rohini Block-92,Rohini,28.733828,77.05393,0.4974,0.2155,14.4,13.5,18.2,0.95,43.3
DEL-0093,Rohini Block-93,Rohini,28.754745,77.034849,0.5056,0.2578,6.18,20.7,19.64,0.7061,43.5
DEL-0094,Old Delhi Block-94,Old Delhi,28.666962,77.224914,0.4902,0.1274,11.0,19.5,3.71,0.8492,43.9
DEL-0095,Rohini Block-95,Rohini,28.759226,77.020178,0.513,0.1916,14.3,21.6,20.91,0.95,46.0
DEL-0096,Mayur Vihar Block-96,Mayur Vihar,28.63727,77.297456,0.4826,0.3467,13.12,9.5,2.56,0.95,41.6
DEL-0097,Yamuna Floodplains Block-97,Yamuna Floodplains,28.650002,77.263454,0.3389,0.2812,11.46,13.2,0.64,0.7377,41.4
DEL-0098,Dwarka Block-98,Dwarka,28.608118,77.061627,0.439,0.2886,15.54,10.1,20.83,0.95,44.7
DEL-0099,Mehrauli Block-99,Mehrauli,28.431184,77.212909,0.3063,0.447,6.51,8.3,12.58,0.524,37.6
DEL-0100,Saket Block-100,Saket,28.467472,77.214635,0.3189,0.3918,3.7,3.0,11.34,0.4169,36.2
DEL-0101,Dwarka Block-101,Dwarka,28.433829,76.908468,0.3747,0.3067,14.33,13.7,41.26,0.8393,41.3
DEL-0102,Shahdara Block-102,Shahdara,28.700021,77.2842,0.2937,0.1623,13.0,19.4,3.24,0.7824,42.6
DEL-0103,IGI Airport Area Block-103,IGI Airport Area,28.558317,77.097469,0.3448,0.4445,8.83,10.6,19.07,0.6368,39.4
DEL-0104,Old Delhi Block-104,Old Delhi,28.643771,77.248435,0.3856,0.1675,11.02,11.2,2.21,0.7601,42.6
DEL-0105,Rohini Block-105,Rohini,28.819329,77.010423,0.1813,0.3241,9.98,7.0,20.66,0.5051,39.2
DEL-0106,Okhla Industrial Block-106,Okhla Industrial,28.529689,77.280896,0.5469,0.0112,13.47,16.6,3.62,0.932,45.7
DEL-0107,Dwarka Block-107,Dwarka,28.600568,77.042925,0.4584,0.2599,15.19,13.5,22.8,0.9475,44.7
DEL-0108,Rohini Block-108,Rohini,28.752443,76.865094,0.2819,0.4028,5.97,8.0,35.9,0.4248,39.7
DEL-0109,Okhla Industrial Block-109,Okhla Industrial,28.520671,77.28553,0.49,0.0701,16.96,14.6,3.36,0.95,44.8
DEL-0110,Dwarka Block-110,Dwarka,28.453871,76.902905,0.2113,0.5901,4.27,10.6,41.11,0.3791,36.8
DEL-0111,Dwarka Block-111,Dwarka,28.547491,77.010077,0.4087,0.255,11.17,15.9,27.52,0.8693,42.8
DEL-0112,Okhla Industrial Block-112,Okhla Industrial,28.490937,77.306529,0.1451,0.7444,2.16,12.2,2.59,0.284,32.9
DEL-0113,Shahdara Block-113,Shahdara,28.829067,77.306785,0.3064,0.4449,5.27,6.7,8.13,0.4415,37.0
DEL-0114,Pitampura Block-114,Pitampura,28.775573,77.129516,0.4153,0.1934,12.03,8.2,10.15,0.8295,43.4
DEL-0115,Ridge Forest Block-115,Ridge Forest,28.698698,77.156963,0.2074,0.599,2.1,13.0,9.06,0.2941,34.8
DEL-0116,Narela Block-116,Narela,28.803443,77.070769,0.3984,0.3131,11.45,9.1,15.41,0.7869,40.9
DEL-0117,Rohini Block-117,Rohini,28.773616,76.997809,0.3972,0.1551,15.59,17.0,22.78,0.9412,44.1
DEL-0118,Dwarka Block-118,Dwarka,28.502091,77.014472,0.2656,0.5037,11.14,9.3,28.99,0.6445,39.4
DEL-0119,Narela Block-119,Narela,28.812726,77.176084,0.2877,0.437,10.61,8.0,5.43,0.5882,37.6
DEL-0120,Karol Bagh Block-120,Karol Bagh,28.657311,77.213616,0.471,0.01,15.85,23.0,5.17,0.95,46.8
DEL-0121,Yamuna Floodplains Block-121,Yamuna Floodplains,28.775274,77.232042,0.2502,0.4977,6.37,10.3,2.75,0.4753,36.3
DEL-0122,Narela Block-122,Narela,28.81428,77.231121,0.2362,0.3738,8.17,6.6,1.59,0.5098,37.2
DEL-0123,Dwarka Block-123,Dwarka,28.559922,76.902867,0.4127,0.2842,12.69,16.4,37.16,0.8579,43.6
DEL-0124,Vasant Kunj Block-124,Vasant Kunj,28.468423,77.092378,0.0784,0.5224,2.42,6.5,22.94,0.1611,34.5
DEL-0125,Dwarka Block-125,Dwarka,28.520291,76.887053,0.1973,0.5242,1.0,4.8,39.89,0.2248,34.0
DEL-0126,Janakpuri Block-126,Janakpuri,28.607927,77.118279,0.5673,0.2855,12.63,18.7,15.51,0.95,44.8
DEL-0127,Rohini Block-127,Rohini,28.779926,77.067519,0.4156,0.2018,12.44,13.8,15.96,0.8303,43.7
DEL-0128,Shahdara Block-128,Shahdara,28.798721,77.277221,0.3631,0.2515,2.09,13.4,4.6,0.3782,38.0
DEL-0129,IGI Airport Area Block-129,IGI Airport Area,28.423059,77.02493,0.1553,0.4596,9.19,7.9,30.44,0.3581,37.1
DEL-0130,Dwarka Block-130,Dwarka,28.644729,76.915021,0.1778,0.4276,7.34,11.5,33.2,0.4273,37.1
DEL-0131,Dwarka Block-131,Dwarka,28.603661,76.927206,0.3003,0.3641,6.25,9.3,33.23,0.4732,38.8
DEL-0132,Saket Block-132,Saket,28.517727,77.21791,0.4489,0.01,18.39,14.8,9.67,0.95,47.1
DEL-0133,Vasant Kunj Block-133,Vasant Kunj,28.472741,77.150562,0.4474,0.3904,8.14,17.7,17.34,0.6943,42.3
DEL-0134,Dwarka Block-134,Dwarka,28.568551,76.907528,0.3895,0.4896,8.7,8.4,36.44,0.698,39.8
DEL-0135,Rohini Block-135,Rohini,28.83488,76.89953,0.2962,0.3606,8.44,6.2,31.21,0.5387,40.3
DEL-0136,South Extension Block-136,South Extension,28.562209,77.189455,0.0693,0.6006,6.62,9.0,10.66,0.33,34.6
DEL-0137,Dwarka Block-137,Dwarka,28.648268,76.894199,0.2437,0.5087,3.63,11.3,35.13,0.3869,37.4
DEL-0138,Yamuna Floodplains Block-138,Yamuna Floodplains,28.729328,77.246274,0.3088,0.4001,9.76,12.3,2.37,0.6954,39.8
DEL-0139,South Extension Block-139,South Extension,28.579997,77.191934,0.6018,0.092,12.79,12.4,9.66,0.9494,47.2
DEL-0140,Rohini Block-140,Rohini,28.847584,76.898234,0.1033,0.5523,4.0,9.0,31.29,0.2709,34.7
DEL-0141,Rohini Block-141,Rohini,28.843477,76.899874,0.2408,0.4391,10.22,10.3,31.13,0.6107,40.1
DEL-0142,Okhla Industrial Block-142,Okhla Industrial,28.530784,77.323721,0.2897,0.296,8.72,8.1,1.25,0.5592,38.8
DEL-0143,Dwarka Block-143,Dwarka,28.638789,77.035907,0.4722,0.2175,17.3,14.9,21.94,0.95,46.0
DEL-0144,Dwarka Block-144,Dwarka,28.552386,77.034202,0.4097,0.338,13.32,13.9,25.11,0.848,42.2
DEL-0145,Nehru Place Block-145,Nehru Place,28.54533,77.242016,0.4912,0.0696,16.49,20.7,6.65,0.95,45.2
DEL-0146,Okhla Industrial Block-146,Okhla Industrial,28.43623,77.305207,0.2973,0.4083,5.91,8.9,3.72,0.463,38.1
DEL-0147,Shahdara Block-147,Shahdara,28.688208,77.32342,0.4693,0.1507,11.21,15.7,6.24,0.8279,44.9
DEL-0148,Connaught Place Block-148,Connaught Place,28.641179,77.214088,0.5718,0.1733,11.92,10.7,5.53,0.908,45.2
DEL-0149,IGI Airport Area Block-149,IGI Airport Area,28.442651,77.036842,0.4007,0.3887,7.31,14.0,28.91,0.7245,42.7
DEL-0150,Dwarka Block-150,Dwarka,28.542604,76.899245,0.3584,0.4276,10.17,8.7,38.07,0.6647,40.7
DEL-0151,Narela Block-151,Narela,28.819637,77.225259,0.3155,0.3867,11.88,11.6,2.23,0.7705,39.2
DEL-0152,Vasant Kunj Block-152,Vasant Kunj,28.525407,77.12245,0.2538,0.2311,8.01,10.0,18.32,0.5813,40.3
DEL-0153,IGI Airport Area Block-153,IGI Airport Area,28.483754,77.059384,0.3377,0.5538,7.73,8.2,25.53,0.5569,38.5
DEL-0154,Mayur Vihar Block-154,Mayur Vihar,28.635359,77.285987,0.5279,0.3767,10.27,9.6,1.8,0.8758,40.2
DEL-0155,Rohini Block-155,Rohini,28.853686,76.912263,0.1975,0.4405,1.73,10.0,29.92,0.2337,34.9
DEL-0156,IGI Airport Area Block-156,IGI Airport Area,28.526504,77.091534,0.1661,0.6612,8.8,6.2,21.0,0.4352,37.0
DEL-0157,Rohini Block-157,Rohini,28.71574,76.865336,0.1839,0.5827,7.66,7.3,36.67,0.4311,36.3
DEL-0158,Rohini Block-158,Rohini,28.755113,77.080271,0.4145,0.2683,14.14,10.8,15.4,0.9456,43.4
DEL-0159,Dwarka Block-159,Dwarka,28.524561,76.886463,0.1387,0.3084,7.29,10.2,39.82,0.3706,37.9
DEL-0160,Rohini Block-160,Rohini,28.740415,76.915844,0.2,0.3413,10.12,6.6,31.28,0.5492,38.0
DEL-0161,Dwarka Block-161,Dwarka,28.581825,76.915237,0.211,0.3412,8.82,6.4,35.17,0.4725,38.8
DEL-0162,Ridge Forest Block-162,Ridge Forest,28.698215,77.165129,0.1781,0.4475,7.69,11.2,8.27,0.4415,37.1
DEL-0163,Ridge Forest Block-163,Ridge Forest,28.698753,77.210641,0.1711,0.4355,1.0,8.9,3.83,0.2406,32.6
DEL-0164,Ridge Forest Block-164,Ridge Forest,28.655741,77.134183,0.1591,0.7333,3.43,4.4,12.3,0.266,35.1
DEL-0165,Okhla Industrial Block-165,Okhla Industrial,28.459727,77.312221,0.1549,0.4429,3.23,8.7,2.84,0.3277,35.2
DEL-0166,Rohini Block-166,Rohini,28.787533,77.036189,0.4293,0.0938,14.58,13.4,18.9,0.9081,47.3
DEL-0167,Dwarka Block-167,Dwarka,28.561143,76.994285,0.3871,0.2004,14.84,13.6,28.61,0.8242,44.6
DEL-0168,Okhla Industrial Block-168,Okhla Industrial,28.502068,77.268242,0.6627,0.1938,14.12,19.7,5.43,0.95,46.9
DEL-0169,Dwarka Block-169,Dwarka,28.437941,76.96509,0.2314,0.3446,10.39,9.1,35.82,0.5616,38.9
DEL-0170,Shahdara Block-170,Shahdara,28.679993,77.312715,0.5473,0.1584,11.79,17.4,5.13,0.9372,45.0
DEL-0171,Rohini Block-171,Rohini,28.718128,76.865713,0.1811,0.5177,6.77,10.9,36.61,0.5102,38.1
DEL-0172,Okhla Industrial Block-172,Okhla Industrial,28.427299,77.315843,0.2345,0.4318,7.02,7.9,3.43,0.4751,38.2
DEL-0173,Dwarka Block-173,Dwarka,28.645321,76.880285,0.1674,0.6987,2.45,3.0,36.52,0.2247,35.1
DEL-0174,Okhla Industrial Block-174,Okhla Industrial,28.519658,77.278837,0.5113,0.0444,17.92,17.9,4.01,0.95,46.0
DEL-0175,Pitampura Block-175,Pitampura,28.703876,77.10802,0.3575,0.3847,10.63,16.5,13.83,0.7725,42.4
DEL-0176,Okhla Industrial Block-176,Okhla Industrial,28.496721,77.326693,0.1814,0.5288,2.09,8.4,1.88,0.204,34.8
DEL-0177,Rohini Block-177,Rohini,28.724013,76.894684,0.1949,0.5257,4.42,9.7,33.71,0.3232,37.1
DEL-0178,IGI Airport Area Block-178,IGI Airport Area,28.590164,77.120312,0.3162,0.5228,6.04,8.6,15.91,0.5382,38.4
DEL-0179,Shahdara Block-179,Shahdara,28.832161,77.315572,0.2899,0.4702,9.99,10.8,9.05,0.6132,39.9
DEL-0180,Vasant Kunj Block-180,Vasant Kunj,28.480509,77.105856,0.3433,0.2437,12.5,11.2,21.35,0.673,42.7
DEL-0181,Vasant Kunj Block-181,Vasant Kunj,28.570069,77.155817,0.2372,0.4653,7.19,11.4,13.31,0.4596,38.4
DEL-0182,Mehrauli Block-182,Mehrauli,28.469928,77.187002,0.2624,0.5143,3.7,12.0,14.0,0.3644,37.6
DEL-0183,Narela Block-183,Narela,28.826865,77.073634,0.4148,0.3542,7.56,10.5,14.46,0.6547,41.3
DEL-0184,Narela Block-184,Narela,28.806029,77.154952,0.1767,0.3561,9.02,14.3,7.33,0.4733,38.3
DEL-0185,Vasant Kunj Block-185,Vasant Kunj,28.533494,77.134628,0.3944,0.2762,9.59,13.9,16.85,0.734,42.1
DEL-0186,Shahdara Block-186,Shahdara,28.710393,77.283544,0.1396,0.4293,6.72,5.0,3.46,0.384,36.9
DEL-0187,Rohini Block-187,Rohini,28.779578,76.88136,0.2938,0.5742,9.84,14.0,33.86,0.6515,39.8
DEL-0188,Dwarka Block-188,Dwarka,28.664288,76.992053,0.1694,0.4342,10.53,7.4,25.43,0.5253,38.9
DEL-0189,Shahdara Block-189,Shahdara,28.653046,77.306693,0.464,0.26,10.52,9.6,3.59,0.7619,41.3
DEL-0190,Okhla Industrial Block-190,Okhla Industrial,28.526415,77.278424,0.545,0.0299,12.29,16.0,4.04,0.8945,45.5
DEL-0191,IGI Airport Area Block-191,IGI Airport Area,28.460965,77.074159,0.1991,0.3666,6.06,11.1,24.87,0.4546,36.5
DEL-0192,Narela Block-192,Narela,28.814775,77.151462,0.2866,0.4347,8.74,8.1,7.73,0.5651,38.1
DEL-0193,Rohini Block-193,Rohini,28.816184,76.990369,0.3102,0.5194,8.4,8.5,22.65,0.5298,37.4
DEL-0194,Rohini Block-194,Rohini,28.698565,76.948417,0.2063,0.5358,1.32,10.8,28.96,0.2308,35.6
DEL-0195,IGI Airport Area Block-195,IGI Airport Area,28.569173,77.077938,0.4409,0.2617,8.49,5.9,20.49,0.6951,41.2
DEL-0196,Dwarka Block-196,Dwarka,28.573652,77.026076,0.3825,0.2857,10.25,10.5,25.24,0.7309,42.1
DEL-0197,Pitampura Block-197,Pitampura,28.73942,77.134318,0.4887,0.257,11.24,14.8,10.35,0.8725,44.3
DEL-0198,Rohini Block-198,Rohini,28.814729,76.896535,0.1475,0.5305,2.24,8.3,31.7,0.221,34.8
DEL-0199,Shahdara Block-199,Shahdara,28.810318,77.317966,0.1574,0.365,7.72,10.3,8.63,0.3735,38.4
DEL-0200,Shahdara Block-200,Shahdara,28.763145,77.323519,0.2773,0.4982,4.45,14.0,8.26,0.378,38.0
DEL-0201,Ridge Forest Block-201,Ridge Forest,28.702494,77.188136,0.1223,0.6363,3.88,8.4,6.03,0.262,34.1
DEL-0202,Vasant Kunj Block-202,Vasant Kunj,28.457022,77.111965,0.3653,0.218,12.06,5.9,21.43,0.8085,43.1
DEL-0203,Dwarka Block-203,Dwarka,28.491117,77.005478,0.1658,0.4064,4.74,7.2,30.27,0.355,37.7
DEL-0204,Narela Block-204,Narela,28.815364,77.242484,0.3407,0.28,6.16,9.6,2.09,0.5846,40.0
DEL-0205,Ridge Forest Block-205,Ridge Forest,28.686829,77.181824,0.0629,0.5919,3.43,3.7,6.8,0.194,32.9
DEL-0206,Dwarka Block-206,Dwarka,28.424047,76.93643,0.2411,0.4761,4.68,8.2,38.92,0.3936,36.9
DEL-0207,Okhla Industrial Block-207,Okhla Industrial,28.464647,77.288136,0.3978,0.4197,7.62,12.6,4.43,0.6386,40.7
DEL-0208,Yamuna Floodplains Block-208,Yamuna Floodplains,28.711941,77.246593,0.1471,0.5705,1.0,3.9,1.37,0.1326,32.5
DEL-0209,Okhla Industrial Block-209,Okhla Industrial,28.422227,77.306406,0.4237,0.439,9.28,4.8,4.26,0.7112,39.2
DEL-0210,Mehrauli Block-210,Mehrauli,28.490756,77.201088,0.3816,0.2404,5.9,14.7,12.05,0.5353,40.6
DEL-0211,Ridge Forest Block-211,Ridge Forest,28.661443,77.148305,0.152,0.2745,5.02,11.8,10.79,0.3977,36.4
DEL-0212,Rohini Block-212,Rohini,28.724434,77.056574,0.4432,0.1841,19.66,9.6,18.08,0.95,46.0
DEL-0213,Shahdara Block-213,Shahdara,28.706863,77.298382,0.3958,0.3047,9.82,13.2,4.77,0.7094,41.6
